image_name,label,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
Downdog\00000000.jpg,Downdog,0.51864636,0.7429147,0.0,0.0,0.0,0.0,0.465422,0.7103456,0.4949972,0.6950937,0.4505976,0.6200515,0.49774542,0.6290633,0.39478686,0.65568656,0.0,0.0,0.0,0.0,0.0,0.0,0.6471442,0.22236392,0.695969,0.26051956,0.6197959,0.5046897,0.76256245,0.55169433,0.706103,0.79037374,0.87945825,0.8328603
Downdog\00000001.jpg,Downdog,0.5786758,0.7920678,0.0,0.0,0.59527767,0.7748289,0.0,0.0,0.6138452,0.75464636,0.55692375,0.64694893,0.6067093,0.6890026,0.0,0.0,0.68492144,0.7377276,0.0,0.0,0.7910913,0.87795705,0.43852615,0.3433903,0.4531091,0.34837073,0.35528135,0.57848614,0.3254594,0.6137105,0.2595891,0.7176573,0.1947171,0.8253588
Downdog\00000002.jpg,Downdog,0.64934796,0.7586208,0.0,0.0,0.6455985,0.7225049,0.0,0.0,0.6488585,0.6824786,0.68627274,0.58842814,0.6398299,0.60753584,0.0,0.0,0.72145474,0.76250356,0.8233429,0.8794295,0.8388522,0.89920205,0.48470348,0.44616905,0.45170298,0.4353095,0.3972858,0.429829,0.36769056,0.43421108,0.0,0.0,0.21510282,0.56830287
Downdog\00000003.jpg,Downdog,0.59325165,0.7484283,0.0,0.0,0.60624045,0.73905754,0.0,0.0,0.6143268,0.7237989,0.59595305,0.66067785,0.59855145,0.6790076,0.68709624,0.68066925,0.70213395,0.7287795,0.0,0.0,0.80249006,0.8696173,0.4528934,0.38089082,0.4565343,0.3749778,0.33414125,0.47374386,0.3062586,0.50505596,0.27630553,0.64906955,0.20882447,0.73086977
Downdog\00000004.jpg,Downdog,0.34067497,0.7128218,0.33187953,0.70632213,0.34867224,0.7021729,0.30283722,0.66543627,0.3346373,0.64982504,0.28891048,0.575801,0.3251167,0.54305303,0.23812528,0.65153265,0.0,0.0,0.0,0.0,0.0,0.0,0.4819216,0.22309248,0.5024861,0.25595602,0.6529995,0.37523544,0.64892167,0.39160046,0.8117734,0.6097615,0.79820395,0.6372486
Downdog\00000007.jpg,Downdog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5586432,0.2924697,0.5894332,0.2861123,0.42375475,0.49828923,0.6642829,0.48689595,0.30155295,0.6519842,0.77040845,0.71021104
Downdog\00000008.jpg,Downdog,0.57523704,0.8017105,0.5717157,0.7812043,0.59098625,0.7697715,0.0,0.0,0.6160092,0.754161,0.5820834,0.70389545,0.6036876,0.71147573,0.66531265,0.72615194,0.7048944,0.76340574,0.7515563,0.88157237,0.8218948,0.8804822,0.43531933,0.4293023,0.45074624,0.42159694,0.32218063,0.42214382,0.33262482,0.4461446,0.26060432,0.56117564,0.25268462,0.6773104
Downdog\00000009.jpg,Downdog,0.46650442,0.7378815,0.45308644,0.7204594,0.0,0.0,0.4222147,0.7071515,0.0,0.0,0.40665078,0.6666419,0.45667058,0.61118186,0.35173637,0.7370219,0.0,0.0,0.23343289,0.87898576,0.0,0.0,0.5331389,0.40805182,0.55604297,0.4201301,0.6785315,0.37340477,0.6935226,0.3838396,0.9130062,0.71303785,0.8833581,0.73153895
Downdog\00000010.jpg,Downdog,0.27985317,0.5470026,0.0,0.0,0.0,0.0,0.25811464,0.5096431,0.0,0.0,0.2989666,0.46331742,0.27541596,0.5574469,0.32253695,0.45515072,0.25493374,0.6494295,0.26883477,0.5644759,0.20040922,0.7184044,0.5149303,0.40948376,0.49497375,0.4725748,0.6569445,0.484392,0.66013974,0.52259517,0.8480374,0.619715,0.8418236,0.6353462
Downdog\00000011.jpg,Downdog,0.6500081,0.7236335,0.0,0.0,0.6477102,0.6821984,0.0,0.0,0.63006604,0.59998167,0.62020904,0.4981227,0.5790421,0.5240844,0.0,0.0,0.662356,0.72979206,0.0,0.0,0.767661,0.86455524,0.39132062,0.27723944,0.36322424,0.28527433,0.3492448,0.45618787,0.31584826,0.5504153,0.27827102,0.60926676,0.20740588,0.7437239
Downdog\00000012.jpg,Downdog,0.53006727,0.7185029,0.0,0.0,0.5461138,0.7008663,0.51693386,0.69383216,0.5743922,0.69218105,0.51364994,0.597284,0.58317626,0.6299673,0.0,0.0,0.6248768,0.6345349,0.0,0.0,0.7026428,0.81836903,0.43416148,0.3575316,0.4652645,0.35182145,0.3059124,0.3540297,0.34146693,0.3604119,0.22353747,0.6097818,0.20731702,0.69320226
